date,table,pricing
"April 14th, 2017",Ookay,Lower Bungalow - $7500 (20ppl) 
"April 15th, 2017",David Guetta ,"Lower Bungalow - $15,000 (20ppl) "
"April 16th, 2017",Stafford Brothers,Lower Bungalow - $7500 (20ppl) 
"April 21st, 2017",BRillz,Lower Bungalow - $10000 (20ppl)
"April 22nd, 2017",Marshmello,"Lower Bungalow - $15,000 (20ppl)"
"April 23rd, 2017",David Guetta,"Lower Bungalow - $15,000 (20ppl)"
"April 28th, 2017",Flosstradamus ,Lower Bungalow - $15000 (20ppl) 2 LEFT
"April 29th, 2017",Diplo,"Lower Bungalow - $20,000 (20ppl)"
"April 30th, 2017",David Guetta,"Lower Bungalow - $15,000 (20ppl) "
"May 5th, 2017",TBD,"Lower Bungalow - $15,000 (20ppl) "
"May 6th, 2017",David Guetta,"Lower Bungalow - $20,000 (20ppl) 1 LEFT "
May 07/2017,Alesso,"Lower Bungalow - $10,000 (20ppl) "
"May 12th, 2017",Diplo ,"Lower Bungalow - $10,000 (20ppl)"
"May 13th, 2017",David Guetta,"Lower Bungalow - $20,000 (20ppl) "
"May 14th, 2017",Skrillex,"Lower Bungalow - $10,000 (20ppl) "
"May 19th, 2017",Diplo,"Lower Bungalow - $15,000 (20ppl) 1 LEFT"
"May 20th, 2017",Alesso,"Lower Bungalow - $20,000 (20ppl) "
"May 21st, 2017",David Guetta,"Lower Bungalow - $30,000 (20ppl) 2 LEFT "
"May 26th, 2017Kygo","Lower Bungalow - $15,000 (20ppl)1 LEFTUpper Bungalow - $6,000 (15ppl)",Lower Cabana - $5000 (12ppl) Upper Cabana - $3000 (10ppl) Water Couches - $4000 (10ppl) DJ Tables - $4000 (10ppl) Daybeds - $2000 (8ppl) Lilly Pads -$2000 (8ppl)  Beach Couches - $1500 (6ppl)Gaming -  $2000 (6ppl)
"May 27th, 2017Alesso","Lower Bungalow - $15,000 (20ppl) 1 LEFT Upper Bungalow - $10,000 (15ppl) 2 LEFT ",Lower Cabana - $8000 (12ppl) Upper Cabana - $4500 (10ppl)
"May 28th, 2017David Guetta","Lower Bungalow -  $30,000 (20ppl) 1 LEFTUpper Bungalow - $7500 (15ppl)",Lower Cabana - $8000 (12ppl) Upper Cabana - $4500 (10ppl)
"May 29th, 2017The Chainsmokers","Lower Bungalow - $15,000 (20ppl) Upper Bungalow - $6,000 (15ppl) 1 LEFT ",Lower Cabana - $5000 (12ppl) Upper Cabana - $3000 (10ppl) Water Couches - $7000 (10ppl)DJ Tables - $7000 (10ppl) Daybeds - $2500 (8ppl) Lilly Pads - $3000 (8ppl)  Beach Couches - $1000 (6ppl) Gaming -  $2000 (6ppl)
"June 2nd, 2017",TBD,"Lower Bungalow -   $10,000 (20ppl) "
"June 3rd, 2017",Alesso,"Lower Bungalow - $15,000 (20ppl) "
June 04/2017,Skrillex,"Lower Bungalow - $10,000 (20ppl) "
"June 9th, 2017",Chuckie,"Lower Bungalow - $10,000 (20ppl)"
"June 10th, 2017",Kygo,"Lower Bungalow - $20,000 (20ppl) 2 LEFT  "
"June 11th, 2017",Skrillex,"Lower Bungalow - $10,000 (20ppl) "
"June 15th, 2017",Dimitri  Vegas and Like Mike ,"Lower Bungalow - $10,000 (20ppl) "
"June 16th, 2017",Alesso ,"Lower Bungalow - $12,500 (20ppl) "
"June 17th, 2017",Major Lazer ,"Lower Bungalow - $20,000 (20ppl) "
"June 18th, 2017",The Chainsmokers ,"Lower Bungalow - $20,000 (20ppl)"
"June 23rd, 2017",Brillz,"Lower Bungalow - $12,500 (20ppl) 1 LEFT "
"June 24th, 2017",The Chainsmokers,"Lower Bungalow - $20,000 (20ppl) "
"June 25th, 2017",Alesso,"Lower Bungalow - $12,500 (20ppl) "
"June 30th, 2017",DJ Snake ,"Lower Bungalow - $10,000 (20ppl)"
"July 1st, 2017",Skrillex,Lower Bungalow - $15000 (20ppl) 
"July 2nd, 2017",DJ Snake,"Lower Bungalow - $10,000 (20ppl) "
"July 7th, 2017",Flosstradamus,"Lower Bungalow - $10,000 (20ppl) "
"July 8th, 2017",Alesso,"Lower Bungalow - $15,000 (20ppl)"
"July 9th, 2017",The Chainsmokers,"Lower Bungalow - $20,000 (20ppl) "
"July 14th, 2017",Dillon Francis,"Lower Bungalow - $10,000 (20ppl)"
"July 15th, 2017",Diplo,"Lower Bungalow - $20,000 (20ppl)"
"July 16th, 2017",Alesso,"Lower Bungalow -$10,000 (20ppl) "
"July 21st, 2017",Dillon Francis,"Lower Bungalow - $10,000 (20ppl) "
"July 22nd, 2017",Diplo,"Lower Bungalow - $15,000 (20ppl) "
"July 23rd, 2017",Skrillex,"Lower Bungalow - $12,500 (20ppl)"
"July 28th, 2017",Marshmello,"Lower Bungalow - $12,500 (20ppl) "
"July 29th, 2017",The Chainsmokers,"Lower Bungalow - $20,000 (20ppl) "
"July 30th, 2017",TBA,"Lower Bungalow - $12,500 (20ppl)"
